Despacito (Featuring Daddy Yankee),4,2017-02-14,Luis Fonsi,Global,top200,3681350
Scared to Be Lonely,5,2017-02-14,"Martin Garrix, Dua Lipa",Global,top200,2933201
Shape of You,1,2017-02-15,Ed Sheeran,Global,top200,7558862
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-15,"ZAYN, Taylor Swift",Global,top200,4464989
Paris,3,2017-02-15,The Chainsmokers,Global,top200,3919374
Despacito (Featuring Daddy Yankee),4,2017-02-15,Luis Fonsi,Global,top200,3663965
Scared to Be Lonely,5,2017-02-15,"Martin Garrix, Dua Lipa",Global,top200,3102171
Shape of You,1,2017-02-16,Ed Sheeran,Global,top200,7573141
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-16,"ZAYN, Taylor Swift",Global,top200,4484617
Paris,3,2017-02-16,The Chainsmokers,Global,top200,3938474
Despacito (Featuring Daddy Yankee),4,2017-02-16,Luis Fonsi,Global,top200,3723591
Scared to Be Lonely,5,2017-02-16,"Martin Garrix, Dua Lipa",Global,top200,3199324
Shape of You,1,2017-02-17,Ed Sheeran,Global,top200,7985803
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-17,"ZAYN, Taylor Swift",Global,top200,4595854
Paris,3,2017-02-17,The Chainsmokers,Global,top200,4012895
Despacito (Featuring Daddy Yankee),4,2017-02-17,Luis Fonsi,Global,top200,3926265
It Ain't Me (with Selena Gomez),5,2017-02-17,Kygo,Global,top200,3459225
God's Plan,1,2018-02-01,Drake,Global,top200,7247715
rockstar,2,2018-02-01,"Post Malone, 21 Savage",Global,top200,3503086
Havana (feat. Young Thug),3,2018-02-01,Camila Cabello,Global,top200,3476656
Finesse - Remix; feat. Cardi B,4,2018-02-01,Bruno Mars,Global,top200,3075468
IDGAF,5,2018-02-01,Dua Lipa,Global,top200,2932984
God's Plan,1,2018-02-02,Drake,Global,top200,7464209
rockstar,2,2018-02-02,"Post Malone, 21 Savage",Global,top200,3705350
Havana (feat. Young Thug),3,2018-02-02,Camila Cabello,Global,top200,3619532
Finesse - Remix; feat. Cardi B,4,2018-02-02,Bruno Mars,Global,top200,3109035
IDGAF,5,2018-02-02,Dua Lipa,Global,top200,2994093
God's Plan,1,2018-02-03,Drake,Global,top200,6940304
Havana (feat. Young Thug),2,2018-02-03,Camila Cabello,Global,top200,3628021
rockstar,3,2018-02-03,"Post Malone, 21 Savage",Global,top200,3599810
Finesse - Remix; feat. Cardi B,4,2018-02-03,Bruno Mars,Global,top200,2989118
IDGAF,5,2018-02-03,Dua Lipa,Global,top200,2876700
God's Plan,1,2018-02-04,Drake,Global,top200,6213030
Havana (feat. Young Thug),2,2018-02-04,Camila Cabello,Global,top200,3172622
rockstar,3,2018-02-04,"Post Malone, 21 Savage",Global,top200,3132522
Finesse - Remix; feat. Cardi B,4,2018-02-04,Bruno Mars,Global,top200,2662090
IDGAF,5,2018-02-04,Dua Lipa,Global,top200,2592460
God's Plan,1,2018-02-05,Drake,Global,top200,6311657
Havana (feat. Young Thug),2,2018-02-05,Camila Cabello,Global,top200,3134937
rockstar,3,2018-02-05,"Post Malone, 21 Savage",Global,top200,3087308
IDGAF,4,2018-02-05,Dua Lipa,Global,top200,2747053
Finesse - Remix; feat. Cardi B,5,2018-02-05,Bruno Mars,Global,top200,2669953
God's Plan,1,2018-02-06,Drake,Global,top200,7007942
Havana (feat. Young Thug),2,2018-02-06,Camila Cabello,Global,top200,3260176
rockstar,3,2018-02-06,"Post Malone, 21 Savage",Global,top200,3245255
IDGAF,4,2018-02-06,Dua Lipa,Global,top200,3009886
Finesse - Remix; feat. Cardi B,5,2018-02-06,Bruno Mars,Global,top200,2847077
God's Plan,1,2018-02-07,Drake,Global,top200,6983322
Havana (feat. Young Thug),2,2018-02-07,Camila Cabello,Global,top200,3300336
rockstar,3,2018-02-07,"Post Malone, 21 Savage",Global,top200,3270124
IDGAF,4,2018-02-07,Dua Lipa,Global,top200,3101809
Finesse - Remix; feat. Cardi B,5,2018-02-07,Bruno Mars,Global,top200,2865650
God's Plan,1,2018-02-08,Drake,Global,top200,6929941
rockstar,2,2018-02-08,"Post Malone, 21 Savage",Global,top200,3309396
Havana (feat. Young Thug),3,2018-02-08,Camila Cabello,Global,top200,3185499
IDGAF,4,2018-02-08,Dua Lipa,Global,top200,3099361
Finesse - Remix; feat. Cardi B,5,2018-02-08,Bruno Mars,Global,top200,2830157
God's Plan,1,2018-02-09,Drake,Global,top200,7119016
All The Stars (with SZA),2,2018-02-09,Kendrick Lamar,Global,top200,4172783
Pray For Me (with Kendrick Lamar),3,2018-02-09,The Weeknd,Global,top200,3807792
rockstar,4,2018-02-09,"Post Malone, 21 Savage",Global,top200,3467252
Havana (feat. Young Thug),5,2018-02-09,Camila Cabello,Global,top200,3294385
God's Plan,1,2018-02-10,Drake,Global,top200,6659137
All The Stars (with SZA),2,2018-02-10,Kendrick Lamar,Global,top200,3987959
Pray For Me (with Kendrick Lamar),3,2018-02-10,The Weeknd,Global,top200,3386486
rockstar,4,2018-02-10,"Post Malone, 21 Savage",Global,top200,3304786
